Exam_Score Aptitude_Measure Age_in_Years Intelligence_Score Attention_Span
	51	23	17	100	21
	53	22	20	100	20
	50	23	18	98	20
	63	24	18	95	21
	65	22	17	96	21
	53	23	18	99	20
	52	22	19	100	21
	50	22	24	100	21
	57	22	20	97	21
	54	23	18	98	20
	65	24	15	95	23
	50	21	16	98	21
	52	21	19	100	22
	63	23	18	100	19
	52	20	17	96	21
	52	23	19	98	20
	51	23	20	96	21
	52	21	17	100	20
	55	23	18	97	18
	55	25	19	99	20
	53	21	19	99	21
	54	20	18	93	20
	99	23	20	97	20
	50	23	17	96	18
	63	24	18	97	20
	57	24	18	96	22
	52	23	19	100	21
	62	24	17	96	21
	52	21	18	98	18
	55	24	19	96	20
	54	22	17	99	18
	56	21	18	100	19
	52	24	18	100	20
	53	22	18	99	20
	64	24	17	99	18
	57	22	19	98	20
	50	23	19	100	16
	51	23	18	99	20
	53	23	17	96	18
	69	44	18	96	20
